index,date,duration,item,month,date(month),network,network_type
0,15-10-2014 06:58,34.429,data,2014-11,14-Oct,data,data
1,15-10-2014 06:58,13,call,2014-11,14-Oct,Vodafone,mobile
2,15-10-2014 14:46,23,call,2014-11,14-Oct,Meteor,mobile
3,15-10-2014 14:48,4,call,2014-11,14-Oct,Tesco,mobile
4,15-10-2014 17:27,4,call,2014-11,14-Oct,Tesco,mobile
5,15-10-2014 18:55,4,call,2014-11,14-Oct,Tesco,mobile
6,16-10-2014 06:58,34.429,data,2014-11,14-Oct,data,data
7,16-10-2014 15:01,602,call,2014-11,14-Oct,Three,mobile
8,16-10-2014 15:12,1050,call,2014-11,14-Oct,Three,mobile
9,16-10-2014 15:30,19,call,2014-11,14-Oct,voicemail,voicemail
10,16-10-2014 16:21,1183,call,2014-11,14-Oct,Three,mobile
11,16-10-2014 22:18,1,sms,2014-11,14-Oct,Meteor,mobile
12,16-10-2014 22:21,1,sms,2014-11,14-Oct,Meteor,mobile
13,17-10-2014 06:58,34.429,data,2014-11,14-Oct,data,data
14,17-10-2014 10:53,1,sms,2014-11,14-Oct,Tesco,mobile
15,17-10-2014 11:19,1,sms,2014-11,14-Oct,Tesco,mobile
16,17-10-2014 11:20,1,sms,2014-11,14-Oct,Meteor,mobile
17,17-10-2014 17:22,1,sms,2014-11,14-Oct,Vodafone,mobile
18,17-10-2014 17:23,1,sms,2014-11,14-Oct,Vodafone,mobile
19,17-10-2014 17:26,92,call,2014-11,14-Oct,Three,mobile
20,17-10-2014 17:29,4,call,2014-11,14-Oct,Vodafone,mobile
21,17-10-2014 17:30,375,call,2014-11,14-Oct,Tesco,mobile
22,17-10-2014 17:42,1,sms,2014-11,14-Oct,Vodafone,mobile
23,17-10-2014 17:44,1,sms,2014-11,14-Oct,Vodafone,mobile
24,17-10-2014 17:44,1,sms,2014-11,14-Oct,Vodafone,mobile
25,17-10-2014 17:44,1,sms,2014-11,14-Oct,Vodafone,mobile
26,18-10-2014 06:58,34.429,data,2014-11,14-Oct,data,data
27,18-10-2014 11:51,783,call,2014-11,14-Oct,Tesco,mobile
28,18-10-2014 12:06,4,call,2014-11,14-Oct,Vodafone,mobile
29,18-10-2014 12:06,3,call,2014-11,14-Oct,Vodafone,mobile
30,18-10-2014 13:08,101,call,2014-11,14-Oct,Vodafone,mobile
31,18-10-2014 13:10,1714,call,2014-11,14-Oct,Three,mobile
32,18-10-2014 14:01,96,call,2014-11,14-Oct,voicemail,voicemail
33,18-10-2014 18:52,1,sms,2014-11,14-Oct,Vodafone,mobile
34,18-10-2014 20:44,384,call,2014-11,14-Oct,Three,mobile
35,18-10-2014 21:04,4,call,2014-11,14-Oct,Three,mobile
36,18-10-2014 21:06,1,sms,2014-11,14-Oct,Three,mobile
37,18-10-2014 21:23,1,sms,2014-11,14-Oct,Vodafone,mobile
38,18-10-2014 22:37,1,sms,2014-11,14-Oct,Three,mobile
39,19-10-2014 06:58,34.429,data,2014-11,14-Oct,data,data
40,19-10-2014 14:47,53,call,2014-11,14-Oct,Three,mobile
41,19-10-2014 15:46,86,call,2014-11,14-Oct,Tesco,mobile
42,19-10-2014 16:21,23,call,2014-11,14-Oct,Three,mobile
43,19-10-2014 16:30,38,call,2014-11,14-Oct,Three,mobile
44,19-10-2014 20:25,428,call,2014-11,14-Oct,Three,mobile
45,20-10-2014 06:58,34.429,data,2014-11,14-Oct,data,data
46,20-10-2014 09:43,69,call,2014-11,14-Oct,voicemail,voicemail
47,20-10-2014 09:43,18,call,2014-11,14-Oct,voicemail,voicemail
48,20-10-2014 13:55,3,call,2014-11,14-Oct,Vodafone,mobile
49,20-10-2014 13:56,6,call,2014-11,14-Oct,landline,landline
50,20-10-2014 18:14,5,call,2014-11,14-Oct,Tesco,mobile
51,20-10-2014 18:24,131,call,2014-11,14-Oct,Vodafone,mobile
52,20-10-2014 19:59,1,sms,2014-11,14-Oct,Vodafone,mobile
53,20-10-2014 20:16,1,sms,2014-11,14-Oct,Vodafone,mobile
54,21-10-2014 06:58,34.429,data,2014-11,14-Oct,data,data
55,21-10-2014 16:17,550,call,2014-11,14-Oct,Three,mobile
56,22-10-2014 06:58,34.429,data,2014-11,14-Oct,data,data
57,22-10-2014 12:04,7,call,2014-11,14-Oct,Three,mobile
58,23-10-2014 06:58,34.429,data,2014-11,14-Oct,data,data
59,23-10-2014 08:34,1940,call,2014-11,14-Oct,landline,landline
60,23-10-2014 09:45,281,call,2014-11,14-Oct,Meteor,mobile
61,23-10-2014 10:46,1,sms,2014-11,14-Oct,Tesco,mobile
62,23-10-2014 10:54,1,sms,2014-11,14-Oct,Vodafone,mobile
63,23-10-2014 11:17,1,sms,2014-11,14-Oct,Vodafone,mobile
64,23-10-2014 11:25,24,call,2014-11,14-Oct,Vodafone,mobile
65,23-10-2014 17:48,263,call,2014-11,14-Oct,Meteor,mobile
66,24-10-2014 06:58,34.429,data,2014-11,14-Oct,data,data
67,24-10-2014 13:35,1,sms,2014-11,14-Oct,Vodafone,mobile
68,24-10-2014 13:39,1,sms,2014-11,14-Oct,Vodafone,mobile
69,24-10-2014 13:39,1,sms,2014-11,14-Oct,Vodafone,mobile
70,24-10-2014 13:47,1,sms,2014-11,14-Oct,Vodafone,mobile
71,24-10-2014 13:48,1,sms,2014-11,14-Oct,Vodafone,mobile
72,24-10-2014 13:50,1,sms,2014-11,14-Oct,Vodafone,mobile
73,24-10-2014 13:57,1,sms,2014-11,14-Oct,Vodafone,mobile
74,24-10-2014 13:57,1,sms,2014-11,14-Oct,Vodafone,mobile
75,24-10-2014 14:20,1,sms,2014-11,14-Oct,Three,mobile
76,24-10-2014 14:27,1,sms,2014-11,14-Oct,Vodafone,mobile
